graph_order,acronym,name_x,DHBA_name,DHBA_acronym,DHBA_id,color_hex_triplet,uDHBA_id,r,g,b,a,vis,msh
22,A9/46,intermediate portion of DFC (area 9/46),intermediate portion of DFC (area 9/46),A9/46,DHBA:10181,#D4B235,522,255,215,180,1,1,1
23,A9/46d,dorsal subdivision of A9/46,dorsal subdivision of A9/46,A9/46d,DHBA:10182,#D4B235,523,255,215,180,1,1,1
24,A9/46v,ventral subdivision of A9/46,ventral subdivision of A9/46,A9/46v,DHBA:10183,#D4B235,524,60,180,75,1,1,1
25,A46,rostroventral portion of DFC (area 46),rostroventral portion of DFC (area 46),A46,DHBA:10184,#D4B235,525,255,225,25,1,1,1
26,A46d,dorsal subdivision of area 46,dorsal subdivision of area 46,A46d,DHBA:10863,#D4B235,526,245,130,48,1,1,1
27,A46v,ventral subdivision of area 46,ventral subdivision of area 46,A46v,DHBA:10870,#D4B235,527,0,130,200,1,1,1
28,VFC,ventrolateral prefrontal cortex (Broca's area in dominant hemisphere),ventrolateral prefrontal cortex,VFC,DHBA:10185,#C2A335,528,0,130,200,1,1,1
29,A44,caudal portion of VFC (area 44),caudal portion of VFC (area 44),A44,DHBA:10186,#C2A335,529,128,128,128,1,1,1
30,A44d,dorsal subdivision of area 44,dorsal subdivision of area 44,A44d,DHBA:266441105,#C2A335,530,255,225,25,1,1,1
31,A44v,ventral subdivision of area 44,ventral subdivision of area 44,A44v,DHBA:266441133,#C2A335,531,128,0,0,1,1,1
32,A44op,opercular subdivision of area 44,opercular subdivision of area 44,A44op,DHBA:266441161,#C2A335,532,70,240,240,1,1,1
33,A45,rostral portion of VFC (area 45),rostral portion of VFC (area 45),A45,DHBA:10187,#C2A335,533,70,240,240,1,1,1
34,A45r,rostral subdivision of A45,rostral subdivision of A45,A45r,DHBA:10188,#C2A335,534,255,215,180,1,1,1
35,A45c,caudal subdivision of A45,caudal subdivision of A45,A45c,DHBA:10189,#C2A335,535,170,110,40,1,1,1
36,A45op,opercular subdivision of A45,opercular subdivision of A45,A45op,DHBA:266441189,#C2A335,536,255,250,200,1,1,1
37,OFC,orbital frontal cortex,orbital frontal cortex,OFC,DHBA:10194,#E2D4A7,537,128,0,0,1,1,1
38,A14,medial orbital frontal cortex (area 14),medial orbital frontal cortex (area 14),OFCm,DHBA:10195,#B8A26D,538,220,190,255,1,1,1
39,A14r,rostral subdivision of area 14,rostral subdivision of area 14,A14r,DHBA:10196,#B8A26D,539,0,128,128,1,1,1
40,A14c,caudal subdivision of area 14,caudal subdivision of area 14,A14c,DHBA:10197,#B8A26D,540,60,180,75,1,1,1
41,A11/13,"intermediate orbital frontal cortex (OFCi, area 11/13)",intermediate orbital frontal cortex,OFCi,DHBA:10198,#CAB781,541,145,30,180,1,1,1
42,A11,rostral intermediate orbital frontal cortex (area 11),rostral division of OFCi (area 11),A11,DHBA:10199,#CAB781,542,255,225,25,1,1,1
43,A11m,medial subdivision of area 11,medial subdivision of area 11,A11m,DHBA:10200,#CAB781,543,255,225,25,1,1,1
44,A11l,lateral subdivision of area 11,lateral subdivision of area 11,A11l,DHBA:10201,#CAB781,544,0,128,128,1,1,1
45,A13,caudal intermediate orbital frontal cortex (area 13),caudal division of OFCi (area 13),A13,DHBA:10202,#CAB781,545,60,180,75,1,1,1
46,A13m,medial subdivision of area 13,medial subdivision of area 13,A13m,DHBA:10203,#CAB781,546,128,128,128,1,1,1
47,A13l,lateral subdivision of area 13,lateral subdivision of area 13,A13l,DHBA:10204,#CAB781,547,170,255,195,1,1,1
48,A12/47,"lateral orbital frontal cortex (OFCl, area 12/47)",lateral orbital frontal cortex (area 12/47),OFCl,DHBA:10205,#AB9158,548,255,225,25,1,1,1
49,A12/47r,rostral subdivision of area 12/47,,,DHBA:AA30002,,549,128,128,128,1,1,1
50,A12/47c,caudal subdivision of area 12/47,,,DHBA:AA30003,,550,145,30,180,1,1,1
51,A12/47m,medial subdivision of area 12/47,medial subdivision of area 12/47,A12/47m,DHBA:10206,#AB9158,551,145,30,180,1,1,1
52,A12/47l,lateral subdivision of area 12/47,lateral subdivision of area 12/47,A12/47l,DHBA:10207,#AB9158,552,170,110,40,1,1,1
53,GuO,orbital gustatory cortex ,,,DHBA:AA30004,,553,170,255,195,1,1,1
54,OFI,orbitofrontal insular cortex,,,DHBA:AA30005,,554,255,215,180,1,1,1
55,OFIm,medial division of orbitofrontal insular cortex,,,DHBA:AA30006,,555,210,245,60,1,1,1
56,OFIi,intermediate division of orbitofrontal insular cortex,,,DHBA:AA30007,,556,230,25,75,1,1,1
57,OFIl,lateral division of orbitofrontal insular cortex,,,DHBA:AA30008,,557,128,0,0,1,1,1
58,MoC,frontal motor cortex (posterior frontal cortex),,,DHBA:AA30009,,558,128,128,0,1,1,1
59,M1/A4,"primary motor cortex (area M1, area 4, area FA)","primary motor cortex (area M1, area 4)",M1C,DHBA:10163,#EDCF37,559,170,255,195,1,1,1
60,A6,"premotor cortex (area 6, area FB, secondary motor cortex)",premotor cortex (area 6),PMC,DHBA:10168,#FDD92E,560,245,130,48,1,1,1
61,A6ld,laterodorsal subdivision of area 6,laterodorsal subdivision of area 6,A6ld,DHBA:10169,#FDD92E,561,60,180,75,1,1,1
62,FEF,frontal eye field of promotor cortex,,,DHBA:AA30010,,562,255,225,25,1,1,1
63,A55b,area 55b of promotor cortex,,,DHBA:AA30011,,563,170,255,195,1,1,1
64,A6lv,lateroventral subdivision of area 6,lateroventral subdivision of area 6,A6lv,DHBA:10170,#FDD92E,564,70,240,240,1,1,1
65,A6m/SMA,medial subdivision of area 6 (supplementary motor area),,,DHBA:AA30012,,565,240,50,230,1,1,1
66,A6mv,medioventral subdivision of area 6,area 6/32,A6/32,DHBA:266441217,#FDD92E,566,255,225,25,1,1,1
67,PCx,parietal cortex,parietal neocortex,PCx,DHBA:10208,#F0DABE,567,60,180,75,1,1,1
68,S1C,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)","primary somatosensory cortex (area S1, areas 3,1,2)",S1C,DHBA:10209,#EC813B,568,0,130,200,1,1,1
69,S1-A3,area 3 of S1C,,,DHBA:AA30013,,569,210,245,60,1,1,1
70,S1-A1,area 1 of S1C,,,DHBA:AA30014,,570,145,30,180,1,1,1
71,S1-A2,area 2 of S1C,,,DHBA:AA30015,,571,0,0,128,1,1,1
72,A43/S2,subcentral cortex (area 43; secondary somatosensory cortex),"subcentral cortex (gustatory cortex, area 43)",ScC,DHBA:13010,#EDC38D,572,128,0,0,1,1,1
73,A43r,rostral part of subcentral cortex (area 43),,,DHBA:AA30016,,573,245,130,48,1,1,1
74,A43c,caudal part of subcentral cortex (area 43),,,DHBA:AA30017,,574,170,255,195,1,1,1
75,PPC,posterior parietal cortex,posterior parietal cortex,PoPC,DHBA:10214,#F0D0A6,575,170,110,40,1,1,1
76,SPC,superior-medial parietal cortex,posterodorsal (superior) parietal cortex,SPC,DHBA:10215,#E49C33,576,60,180,75,1,1,1
77,A5,"rostral division of SPC (area 5, area PE)",rostral division of SPC (area 5),A5,DHBA:10216,#E49C33,577,170,110,40,1,1,1
78,A5ci,cingulate subdivision of area 5,cingulate subdivision of area 5,A5ci,DHBA:10217,#E49C33,578,145,30,180,1,1,1
79,A5l,lateral subdivision of area 5,lateral subdivision of area 5,A5l,DHBA:10218,#E49C33,579,128,128,0,1,1,1
80,A5m,medial subdivision of area 5,medial subdivision of area 5,A5m,DHBA:10219,#E49C33,580,250,190,212,1,1,1
81,A7,"caudal division of SPC (area 7, area PEc)",caudal division of SPC (area 7),A7,DHBA:10220,#E49C33,581,250,190,212,1,1,1
82,A7r,rostral subdivision of area 7,rostral subdivision of area 7,A7r,DHBA:10221,#E49C33,582,240,50,230,1,1,1
83,A7m,medial subdivision of area 7,medial subdivision of area 7,A7m,DHBA:10222,#E49C33,583,245,130,48,1,1,1
84,A7c,caudal subdivision of area 7,caudal subdivision of area 7,A7c,DHBA:10223,#E49C33,584,255,250,200,1,1,1
85,A7pc,postcentral subdivision of area 7,postcentral subdivision of area 7,A7pc,DHBA:10224,#E49C33,585,60,180,75,1,1,1
86,A7l,lateral subdivision of area 7 (A7l),intraparietal subdivision of area 7 (A7ip),A7ip,DHBA:267498979,#E49C33,586,245,130,48,1,1,1
87,A7lr,rostral part of area 7l (A7lr),"area 7ip, rostral part (A7ipr)",A7ipr,DHBA:267498983,#E49C33,587,170,110,40,1,1,1
88,A7lc,caudal part of area 7l (A7lc),"area 7ip, caudal part (A7ipc)",A7ipc,DHBA:267499011,#E49C33,588,128,128,128,1,1,1
89,IPC,inferior-lateral parietal cortex,posteroventral (inferior) parietal cortex,IPC,DHBA:10225,#D38E32,589,0,128,128,1,1,1
90,A40,"rostral division of IPC (area 40, area PF)",rostral division of IPC (area 40),A40,DHBA:10226,#D38E32,590,128,128,0,1,1,1
91,A40rd,rostrodorsal subdivision of area 40,rostrodorsal subdivision of area 40,A40rd,DHBA:10227,#D38E32,591,255,215,180,1,1,1
92,A40rv,rostroventral subdivision of area 40,rostroventral subdivision of area 40,A40rv,DHBA:10228,#D38E32,592,245,130,48,1,1,1
93,A40in,inferior subdivision of area 40,inferior subdivision of area 40,A40in,DHBA:10231,#D38E32,593,170,255,195,1,1,1
94,A40/39,"intermediate division of IPC (area 40/39, area PFG)",intermediate division of IPC (area 40/39),A40/39,DHBA:146034630,#D38E32,594,255,225,25,1,1,1
95,A40/39r,rostral subdivision of area 40/39,rostral subdivision of area 40/39,A40/39r,DHBA:146034634,#D38E32,595,240,50,230,1,1,1
96,A40/39c,caudal subdivision of area 40/39,caudal subdivision of area 40/39,A40/39c,DHBA:146034662,#D38E32,596,0,128,128,1,1,1
97,A39,"caudal division of IPC (area 39, area PG)",caudal division of IPC (area 39),A39,DHBA:10232,#D38E32,597,210,245,60,1,1,1
98,A39r,rostral subdivision of area 39,rostral subdivision of area 39,A39r,DHBA:10233,#D38E32,598,128,128,0,1,1,1
99,A39c,caudal subdivision of area 39,caudal subdivision of area 39,A39c,DHBA:10234,#D38E32,599,0,130,200,1,1,1
100,PLPC,posterior limitans parietal cortex,,,DHBA:AA30018,,600,250,190,212,1,1,1
101,Opt,occipitoparietal area,,,DHBA:AA30019,,601,128,128,128,1,1,1
102,V6A/V6,the sixth visual area,,,DHBA:AA30020,,602,170,110,40,1,1,1
103,V6A,area V6A of V6A/V6,area V6 of peristriate cortex (parieto-occipital area),V6A/PO,DHBA:267499151,#D14D46,603,220,190,255,1,1,1
104,V6,area V6 of V6A/V6,area V6 of peristriate cortex ,V6,DHBA:267499123,#D14D46,604,230,25,75,1,1,1
105,V7,area V7 of parietal cortex ,area V7 of peristriate cortex ,V7,DHBA:267499179,#D14D46,605,220,190,255,1,1,1
106,RI,retroinsular cortex,retroinsular cortex,RI,DHBA:13323,#D38E32,606,128,0,0,1,1,1
107,TCx,temporal cortex,temporal neocortex,TCx,DHBA:10235,#EBBFD0,607,0,0,128,1,1,1
108,DLTC,dorsolateral temporal cortex,dorsolateral temporal neocortex,DLTC,DHBA:13322,#D670A0,608,210,245,60,1,1,1
109,Au1,"primary auditory cortex (first auditiory cortex, auditory core region)",primary auditory cortex (core),A1C,DHBA:10236,#D670A0,609,128,128,128,1,1,1
110,A41,"main portion of primary auditory cortex (area TC, area 41)","main portion of A1C (area TC, area 41)",A41,DHBA:10237,#D670A0,610,60,180,75,1,1,1
111,Au1r,rostral extension of primary auditory cortex ,rostral portion of A1C,A1Cr,DHBA:10238,#D670A0,611,0,0,128,1,1,1
112,A42,"secondary auditory cortex (auditory belt region, area 42, area TB)","secondary auditory cortex (belt, area 42)",A42,DHBA:10239,#D670A0,612,128,128,0,1,1,1
113,A22,superolateral temporal cortex (area 22),superolateral temporal cortex,SLTC,DHBA:10240,#D670A0,613,240,50,230,1,1,1
114,A22r,rostral portion of area 22,anterior (rostral) superior temporal cortex (area 22r),ASTC,DHBA:10241,#D670A0,614,210,245,60,1,1,1
115,A22i,intermediate portion of area 22,intermediate superior temporal cortex (area 22i),ISTC,DHBA:10242,#D670A0,615,170,110,40,1,1,1
116,A22c,caudal portion of area 22,posterior (caudal) superior temporal cortex (area 22c),STC,DHBA:10243,#D670A0,616,170,255,195,1,1,1
117,A22P,polysensory temporal cortex (area 22P),polysensory temporal cortex (area 22p),PSTC,DHBA:10244,#DA80A8,617,128,128,128,1,1,1
118,A22Pr,rostral division of area 22P,rostral division of 22p (area 22pr),A22pr,DHBA:10245,#DA80A8,618,170,255,195,1,1,1
119,A22Pi,intermediate division of area 22P,intermediate division of 22p (area 22pi),A22pi,DHBA:10246,#DA80A8,619,255,215,180,1,1,1
120,A22Pc,caudal division of area 22P (area FST),caudal division of 22p (area 22pc),A22pc,DHBA:10247,#DA80A8,620,128,128,128,1,1,1
121,PI,parainsular cortex (area 52),parainsular cortex,PI,DHBA:10267,#E196B7,86,107,158,96,1,1,1
122,V5/MT,the fifth visual area (middle temporal area),area V5 (middle temporal area),V5/MT,DHBA:267499039,#D55C92,621,210,245,60,1,1,1
123,MST,medial superior temporal area,,,DHBA:AA30021,,622,145,30,180,1,1,1
124,Tpt,temporoparietal area,,,DHBA:AA30022,,623,128,128,0,1,1,1
125,VLTC,ventrolateral temporal cortex,ventrolateral temporal neocortex,VLTC,DHBA:13324,#D670A0,624,210,245,60,1,1,1
126,A21-20,typical ventrolateral temporal cortex (area TE),,,DHBA:AA30023,,625,255,225,25,1,1,1
127,A21,"midlateral temporal  cortex (area TEd, area 21)","midlateral temporal  cortex (area TEd, area 21)",MTC,DHBA:10248,#D55C92,626,0,130,200,1,1,1
128,A21r,rostral subdivision of area 21,rostral subdivision of area 21,A21r,DHBA:10249,#D55C92,627,170,110,40,1,1,1
129,A21i,intermediate subdivision of area 21,intermediate subdivision of area 21,A21i,DHBA:10250,#D55C92,628,145,30,180,1,1,1
130,A21c,caudal subdivision of area 21,caudal subdivision of area 21,A21c,DHBA:10251,#D55C92,629,255,250,200,1,1,1
131,A20,"inferolateral temporal cortex (area TEv, area 20)","inferolateral temporal cortex (area TEv, area 20)",ITC,DHBA:10252,#D55C92,630,128,128,0,1,1,1
132,A20r,rostral subdivision of area 20,rostral subdivision of area 20,A20r,DHBA:10253,#D55C92,631,0,128,128,1,1,1
133,A20i,intermediate subdivision of area 20,intermediate subdivision of area 20,A20i,DHBA:10254,#D55C92,632,170,255,195,1,1,1
134,A20c,caudal subdivision of area 20,caudal subdivision of area 20,A20c,DHBA:10255,#D55C92,633,220,190,255,1,1,1
135,A37/TEO,"lateral temporal-occipital cortex (area 37l, area TEO)",,,DHBA:AA30024,,634,0,130,200,1,1,1
136,ITC,inferior temporal cortex,"inferolateral temporal cortex (area TEv, area 20)",ITC,DHBA:10252,#D55C92,635,128,128,128,1,1,1
137,PRR,perirhinal cortical region,,,DHBA:AA30025,,2324,128,0,0,1,1,1
138,A35,perirhinal cortex (area 35),perirhinal cortex (area 35),A35,DHBA:10320,#C4AD9A,636,230,25,75,1,1,1
139,A35r,rostral subdivision of area 35,rostral subdivision of area 35,A35r,DHBA:10321,#D2BFB2,637,255,225,25,1,1,1
140,A35c,caudal subdivision of area 35,caudal subdivision of area 35,A35c,DHBA:10322,#D2BFB2,638,220,190,255,1,1,1
141,A36,ectorhinal cortex (area 36) ,rostral division of MITC (area 36),A36,DHBA:10257,#D55C92,639,170,110,40,1,1,1
142,A36r,rostral subdivision of area 36,rostral subdivision of area 36,A36r,DHBA:10258,#D55C92,640,0,130,200,1,1,1
143,A36c,caudal subdivision of area 36,caudal subdivision of area 36,A36c,DHBA:10259,#D55C92,641,245,130,48,1,1,1
144,PHC,posterior parahippocampal cortex (postrhinal cortex),posterior parahippocampal cortex,PPHC,DHBA:10263,#C15184,642,145,30,180,1,1,1
145,TH,medial division of PHC (area TH),medial division of PPHC (area TH),TH,DHBA:10264,#C15184,643,255,250,200,1,1,1
146,TL,intermediate division of PHC (area TL),lateral division of PPHC (area TL),TL,DHBA:10265,#C15184,644,170,255,195,1,1,1
147,TF,lateral division of PHC (area TF),caudal division of MITC (area TF),TF,DHBA:10260,#D55C92,645,255,225,25,1,1,1
148,TFO,medial temporal-occipital cortex (area TFO),medial temporal-occipital cortex (area TFO),TFO,DHBA:10261,#C15184,646,128,128,128,1,1,1
149,TFOm,"area TFO, medial part",,,DHBA:AA30026,,647,128,128,0,1,1,1
150,TFOl,"area TFO, lateral part (fusiform face area)",,,DHBA:AA30027,,648,60,180,75,1,1,1
151,A38,"temporal polar cortex (area TG, area 38)","temporal polar cortex (area TG, area 38)",A38,DHBA:10266,#C8538B,649,128,0,0,1,1,1
152,MITC,midinferior (fusiform) temporal cortex,midinferior (fusiform) temporal cortex,MITC,DHBA:10256,#D55C92,650,0,128,128,1,1,1
153,OCx,occipital cortex,occipital neocortex,Ocx,DHBA:10268,#E7ACA1,651,210,245,60,1,1,1
154,APr,area prostriata,area prostriata,Pro,DHBA:13011,#D14D46,652,145,30,180,1,1,1
155,APrD,dysgranular subdivision of area prostriata,,,DHBA:AA30028,,2321,230,25,75,1,1,1
156,APrA,agranular subdivision of area prostriata,,,DHBA:AA30029,,2322,0,0,128,1,1,1
157,V1/A17,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",,,DHBA:AA30030,,653,255,215,180,1,1,1
158,V1ce,central representation of primary visual cortex,,,DHBA:AA30031,,654,255,250,200,1,1,1
159,V1pe, peripheral representation of primary visual cortex,,,DHBA:AA30032,,655,0,130,200,1,1,1
160,ESOC,extrastriate occipital cortex,extrastriate occipital cortex,ESOC,DHBA:10270,#D14D46,656,245,130,48,1,1,1
161,Vx,area x of visual cortex,area x of visual cortex,Vx,DHBA:146034690,#D14D46,657,0,128,128,1,1,1
162,V2/A18,"parastriate cortex (second visual cortex, area 18, area OB)","parastriate cortex (area V2, area 18)",V2,DHBA:10271,#D14D46,658,128,128,0,1,1,1
163,JxSt,juxtastriate cortex,,,DHBA:AA30033,,659,128,0,0,1,1,1
164,A19,"peristriate cortex (third visual cortex, area 19, area OA)",peristriate cortex (area 19),PSC,DHBA:10272,#D14D46,660,70,240,240,1,1,1
165,V3,area V3 of peristriate cortex,area V3 of peristriate cortex,V3,DHBA:10273,#D14D46,661,240,50,230,1,1,1
166,VP,area VP (V3V) of peristriate cortex,area VP of peristriate cortex,VP,DHBA:10274,#D14D46,662,240,50,230,1,1,1
167,V3A,area V3A of peristriate cortex,area V3A of peristriate cortex,V3A,DHBA:10275,#D14D46,663,220,190,255,1,1,1
168,V4,area V4 of peristriate cortex,area V4 of peristriate cortex,V4,DHBA:10276,#D14D46,664,70,240,240,1,1,1
169,V4T,area V4T of peristriate cortex,,,DHBA:AA30034,,665,0,0,128,1,1,1
170,V4D,area V4D of peristriate cortex,,,DHBA:AA30035,,666,0,128,128,1,1,1
171,V4V,area V4V of peristriate cortex,,,DHBA:AA30036,,667,0,128,128,1,1,1
172,V3B,area V3B of peristriate cortex ,area V3B of peristriate cortex ,V3B,DHBA:267499095,#D14D46,668,0,0,128,1,1,1
173,LO,lateral occipital area ,lateral occipito-temporal area ,LO,DHBA:267499067,#C8538B,669,128,128,0,1,1,1
174,ICx,insular cortex,insular neocortex,ICx,DHBA:10288,#E5AB9A,670,255,250,200,1,1,1
175,Ig,granular insular cortex (area Ig),granular insular cortex,Ig,DHBA:10290,#C45539,671,250,190,212,1,1,1
176,RIg,rostral granular insular cortex,rostral granular insular cortex,RIg,DHBA:15521,#C45539,672,0,130,200,1,1,1
177,CIg,caudal granular insular cortex,caudal granular insular cortex,CIg,DHBA:15522,#C45539,673,250,190,212,1,1,1
178,Idg,dysgranular insular cortex (area Idg),dysgranular insular cortex,Idg,DHBA:10289,#D16146,674,0,128,128,1,1,1
179,RIdg,rostral dysgranular insular cortex,rostral dysgranular insular cortex,RIdg,DHBA:15513,#D16146,675,0,130,200,1,1,1
180,CIdg,caudal dysgranular insular cortex,caudal dysgranular insular cortex,CIdg,DHBA:15514,#D16146,676,230,25,75,1,1,1
181,Iag,agranular insular cortex (area Iag),agranular insular cortex (area Iag),Iag,DHBA:10328,#C4AD9A,88,214,232,45,1,1,1
182,FI,agranular frontal insular cortex (area FI),frontal agranular insular cortex (area FI),FI,DHBA:10329,#C1A68F,89,47,172,19,1,1,1
183,CCx,cingulate cortex,cingulate neocortex,CCx,DHBA:10277,#EFB9BE,677,220,190,255,1,1,1
184,SCC,subgenual (subcallosal) cingulate cortex (area 25),subgenual (subcallosal) division of MFC (area 25),A25,DHBA:10281,#E26880,678,128,128,0,1,1,1
185,A25r,rostrodorsal division of A25 (infralimbic cortex),,,DHBA:AA30037,,679,255,250,200,1,1,1
186,A25c,caudoventral division of A25 (dorsal peduncular nucleus),,,DHBA:AA30038,,680,128,128,128,1,1,1
187,A32,"pregenual cingulate  cortex (area 32, prelimbic cortex)",dorsorostral division of MFC (area 32),A32,DHBA:10280,#E26880,681,255,225,25,1,1,1
188,A32d,dorsal division of area 32,,,DHBA:AA30039,,682,255,225,25,1,1,1
189,A32v,ventral division of area 32,,,DHBA:AA30040,,683,255,250,200,1,1,1
190,ACC,anterior cingulate  cortex (ventromedial prefrontal cortex),anterior (rostral) cingulate (medial prefrontal) cortex,MFC,DHBA:10278,#E26880,684,0,130,200,1,1,1
191,A24,"ventral division of ACC (area 24, area LA)",ventral division of MFC (area 24),A24,DHBA:10279,#E26880,685,240,50,230,1,1,1
192,A24c,dorsal division of area 24,,,DHBA:AA30041,,686,220,190,255,1,1,1
193,A24b,intermediate division of area 24,,,DHBA:AA30042,,687,128,0,0,1,1,1
194,A24a,ventral division of area 24,,,DHBA:AA30043,,688,0,0,128,1,1,1
195,M3,"dorsal division of ACC (rostral cingulate motor cortex, M3)",,,DHBA:AA30044,,689,220,190,255,1,1,1
196,MCC,midcingulate cortex (MCC),midcingulate cortex,MCC,DHBA:10282,#E47E8C,690,245,130,48,1,1,1
197,A24',ventral division of MCC (area 24'),ventral division of MCC (area 24mc),A24mc,DHBA:10283,#E47E8C,691,220,190,255,1,1,1
198,A24'c,dorsal division of area 24',,,DHBA:AA30045,,692,0,128,128,1,1,1
199,A24'b,intermediate division of area 24',,,DHBA:AA30046,,693,170,110,40,1,1,1
200,A24'a,ventral division of area 24',,,DHBA:AA30047,,694,0,128,128,1,1,1
201,M4,"dorsal division of MCC (caudal cingulate motor cortex, M4)",,,DHBA:AA30048,,695,255,250,200,1,1,1
202,PCC,posterior cingulate cortex (PCC),posterior (caudal) cingulate cortex,PCC,DHBA:10285,#DF4F72,696,0,128,128,1,1,1
203,A23,"ventral division of PCC (area 23, area LC2)",ventral division of PCC (area 23),A23,DHBA:10286,#DF4F72,697,0,128,128,1,1,1
204,A23c,dorsal division of area 23,,,DHBA:AA30049,,698,0,0,128,1,1,1
205,A23b,intermediate division of area 23,,,DHBA:AA30050,,699,0,128,128,1,1,1
206,A23a,ventral division of area 23,,,DHBA:AA30051,,700,170,110,40,1,1,1
207,A31,"dorsal division of PCC (area 31, area LC1)",dorsal division of PCC (area 31),A31,DHBA:10287,#DF4F72,701,170,255,195,1,1,1
208,RSC,retrosplenial cortex,retrosplenial cortex,RSC,DHBA:10324,#C4AD9A,702,250,190,212,1,1,1
209,A29,"granular subdivuision of retrosplenial cortex (area 29, RSg)",area 29 of retrosplenial cortex,A29,DHBA:10325,#CBB7A8,703,170,255,195,1,1,1
210,A29l,lateral subdivision of area 29,,,DHBA:AA30052,,704,70,240,240,1,1,1
211,A29m,medial subdivision of area 29,,,DHBA:AA30053,,705,128,0,0,1,1,1
212,A30,"agranular subdivuision of retrosplenial cortex (area 30, RSag)",area 30 of retrosplenial cortex,A30,DHBA:10326,#CBB7A8,706,240,50,230,1,1,1
213,NCxL,lamination of neocortex,,,DHBA:AA30054,,707,128,0,0,1,1,1
214,L1,layer 1 (molecular layer) of NCx,,,DHBA:AA30055,,708,240,50,230,1,1,1
215,L2-3,layers L2-3 (supragranular cell layers) of NCx,,,DHBA:AA30056,,709,0,128,128,1,1,1
216,L2,layer 2 (outer granular cell layer) of NCx,,,DHBA:AA30057,,710,128,128,0,1,1,1
217,L3,layer 3 (outer pyramidal cell layer) of NCx,,,DHBA:AA30058,,711,0,130,200,1,1,1
218,L3a,layer 3a of NCx (superfical part of layer 3),,,DHBA:AA30059,,712,128,0,0,1,1,1
219,L3b,layer 3b of NCx (deep part of layer 3),,,DHBA:AA30060,,713,128,128,128,1,1,1
220,L3u,unique layer 3 of primary visual cortex in primates,,,DHBA:AA30061,,714,255,250,200,1,1,1
221,L3b2,layer 3b2 of NCx (Brodmann's IVA),,,DHBA:AA30062,,715,255,215,180,1,1,1
222,L3c,layer 3c of NCx  (Brodmann's IVB),,,DHBA:AA30063,,716,245,130,48,1,1,1
223,L4,"layer 4 (granular cell layer, inner granular cell layer) of NCx",,,DHBA:AA30064,,717,0,0,128,1,1,1
224,L4a,layer 4a of NCx (superfical part of layer 4; Brodmann's IVCa) ,,,DHBA:AA30065,,718,70,240,240,1,1,1
