graph_order,uDHBA_id,uDHBA_acronym,uDHBA_name,DHBA_name,DHBA_acronym,DHBA_id,uDHBA_label_value,r,g,b,hierarchy and full names,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
65,DHBA:10168,A6,"premotor cortex (area 6, area FB, secondary motor cortex)",premotor cortex (area 6),PMC,10168,560,245,130,48,,,,,,,,,,,"premotor cortex (area 6, area FB, secondary motor cortex)",,,,,,,
66,DHBA:10169,A6ld,laterodorsal division of area 6,laterodorsal subdivision of area 6,A6ld,10169,561,60,180,75,,,,,,,,,,,,laterodorsal division of area 6,,,,,,
67,DHBA:AA30010,FEF,frontal eye field of promotor cortex,,,,562,255,225,25,,,,,,,,,,,,,frontal eye field of promotor cortex,,,,,
68,DHBA:AA30011,A55b,area 55b of promotor cortex,,,,563,170,255,195,,,,,,,,,,,,,area 55b of promotor cortex,,,,,
69,DHBA:10170,A6lv,lateroventral division of area 6,lateroventral subdivision of area 6,A6lv,10170,564,70,240,240,,,,,,,,,,,,lateroventral division of area 6,,,,,,
70,DHBA:AA30012,SMA,medial division of area 6 (supplementary motor area),,,,565,240,50,230,,,,,,,,,,,,medial division of area 6 (supplementary motor area),,,,,,
71,DHBA:266441217,A6mv,medioventral division of area 6,area 6/32,A6/32,266441217,566,255,225,25,,,,,,,,,,,,medioventral division of area 6,,,,,,
72,DHBA:10208,PCx,parietal cortex,parietal neocortex,PCx,10208,567,60,180,75,,,,,,,,,parietal cortex,,,,,,,,,
73,DHBA:10209,S1,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)","primary somatosensory cortex (area S1, areas 3,1,2)",S1C,10209,568,0,130,200,,,,,,,,,,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",,,,,,,,
74,DHBA:AA30811,S1sa,subareas of S1,,,,2359,170,255,195,,,,,,,,,,,subareas of S1,,,,,,,
75,DHBA:AA30013,S1A3,area 3 of S1,,,,569,210,245,60,,,,,,,,,,,,area 3 of S1,,,,,,
76,DHBA:AA30812,S1A3a,rostral part of area 3,,,,2360,245,130,48,,,,,,,,,,,,,rostral part of area 3,,,,,
77,DHBA:AA30813,S1A3b,caudal part of area 3,,,,2361,145,30,180,,,,,,,,,,,,,caudal part of area 3,,,,,
78,DHBA:AA30014,S1A1,area 1 of S1,,,,570,145,30,180,,,,,,,,,,,,area 1 of S1,,,,,,
79,DHBA:AA30015,S1A2,area 2 of S1,,,,571,0,0,128,,,,,,,,,,,,area 2 of S1,,,,,,
80,DHBA:AA30814,S1sm,somatotopy of S1,,,,2362,60,180,75,,,,,,,,,,,somatotopy of S1,,,,,,,
81,DHBA:10213,S1ll,lower limb region of S1,lower limb region of S1,S1lm,10213,2363,128,128,128,,,,,,,,,,,,lower limb region of S1,,,,,,
82,DHBA:10212,S1tr,trunk region of S1 ,trunk region of S1,S1tr,10212,2364,170,255,195,,,,,,,,,,,,trunk region of S1 ,,,,,,
83,DHBA:10211,S1ul,upper limb regions of S1,upper limb region of S1,S1ul,10211,2365,255,225,25,,,,,,,,,,,,upper limb regions of S1,,,,,,
84,DHBA:AA30815,S1fm,face-mouth region of S1 ,,,,2366,128,128,128,,,,,,,,,,,,face-mouth region of S1 ,,,,,,
85,DHBA:AA30816,S1tf,tongue-pharynx region of S1,,,,2367,145,30,180,,,,,,,,,,,,tongue-pharynx region of S1,,,,,,
86,DHBA:13010,A43,subcentral cortex (area 43; secondary somatosensory cortex),"subcentral cortex (gustatory cortex, area 43)",ScC,13010,572,128,0,0,,,,,,,,,,subcentral cortex (area 43; secondary somatosensory cortex),,,,,,,,
87,DHBA:AA30016,A43r,rostral subdivision of subcentral cortex (area 43),,,,573,245,130,48,,,,,,,,,,,rostral subdivision of subcentral cortex (area 43),,,,,,,
88,DHBA:AA30017,A43c,caudal subdivision of subcentral cortex (area 43),,,,574,170,255,195,,,,,,,,,,,caudal subdivision of subcentral cortex (area 43),,,,,,,
89,DHBA:10214,PPC,posterior parietal cortex,posterior parietal cortex,PoPC,10214,575,170,110,40,,,,,,,,,,posterior parietal cortex,,,,,,,,
90,DHBA:10215,SPC,superior-medial parietal cortex,posterodorsal (superior) parietal cortex,SPC,10215,576,60,180,75,,,,,,,,,,,superior-medial parietal cortex,,,,,,,
91,DHBA:10216,A5,"rostral division of SPC (area 5, area PE)",rostral division of SPC (area 5),A5,10216,577,170,110,40,,,,,,,,,,,,"rostral division of SPC (area 5, area PE)",,,,,,
92,DHBA:10217,A5ci,cingulate subdivision of area 5,cingulate subdivision of area 5,A5ci,10217,578,145,30,180,,,,,,,,,,,,,cingulate subdivision of area 5,,,,,
93,DHBA:10218,A5l,lateral subdivision of area 5,lateral subdivision of area 5,A5l,10218,579,128,128,0,,,,,,,,,,,,,lateral subdivision of area 5,,,,,
94,DHBA:10219,A5m,medial subdivision of area 5,medial subdivision of area 5,A5m,10219,580,250,190,212,,,,,,,,,,,,,medial subdivision of area 5,,,,,
95,DHBA:10220,A7,"caudal division of SPC (area 7, area PEc)",caudal division of SPC (area 7),A7,10220,581,250,190,212,,,,,,,,,,,,"caudal division of SPC (area 7, area PEc)",,,,,,
96,DHBA:10221,A7r,rostral subdivision of area 7,rostral subdivision of area 7,A7r,10221,582,240,50,230,,,,,,,,,,,,,rostral subdivision of area 7,,,,,
97,DHBA:10222,A7m,medial subdivision of area 7,medial subdivision of area 7,A7m,10222,583,245,130,48,,,,,,,,,,,,,medial subdivision of area 7,,,,,
98,DHBA:10223,A7c,caudal subdivision of area 7,caudal subdivision of area 7,A7c,10223,584,255,250,200,,,,,,,,,,,,,caudal subdivision of area 7,,,,,
99,DHBA:10224,A7pc,postcentral subdivision of area 7,postcentral subdivision of area 7,A7pc,10224,585,60,180,75,,,,,,,,,,,,,postcentral subdivision of area 7,,,,,
100,DHBA:267498979,A7l,lateral subdivision of area 7 (A7l),intraparietal subdivision of area 7 (A7ip),A7ip,267498979,586,245,130,48,,,,,,,,,,,,,lateral subdivision of area 7 (A7l),,,,,
101,DHBA:267498983,A7lr,rostral part of area 7l (A7lr),"area 7ip, rostral part (A7ipr)",A7ipr,267498983,587,170,110,40,,,,,,,,,,,,,,rostral part of area 7l (A7lr),,,,
102,DHBA:267499011,A7lc,caudal part of area 7l (A7lc),"area 7ip, caudal part (A7ipc)",A7ipc,267499011,588,128,128,128,,,,,,,,,,,,,,caudal part of area 7l (A7lc),,,,
103,DHBA:10225,IPC,inferior-lateral parietal cortex,posteroventral (inferior) parietal cortex,IPC,10225,589,0,128,128,,,,,,,,,,,inferior-lateral parietal cortex,,,,,,,
104,DHBA:10226,A40,"rostral division of IPC (IPCr, area 40, area PF)",rostral division of IPC (area 40),A40,10226,590,128,128,0,,,,,,,,,,,,"rostral division of IPC (IPCr, area 40, area PF)",,,,,,
105,DHBA:10227,A40rd,rostrodorsal subdivision of area 40,rostrodorsal subdivision of area 40,A40rd,10227,591,255,215,180,,,,,,,,,,,,,rostrodorsal subdivision of area 40,,,,,
106,DHBA:10228,A40rv,rostroventral subdivision of area 40,rostroventral subdivision of area 40,A40rv,10228,592,245,130,48,,,,,,,,,,,,,rostroventral subdivision of area 40,,,,,
107,DHBA:10231,A40in,inferior subdivision of area 40,inferior subdivision of area 40,A40in,10231,593,170,255,195,,,,,,,,,,,,,inferior subdivision of area 40,,,,,
108,DHBA:146034630,IPCi,"intermediate division of IPC (IPCi, area 40/39, area PFG)",intermediate division of IPC (area 40/39),A40/39,146034630,594,255,225,25,,,,,,,,,,,,"intermediate division of IPC (IPCi, area 40/39, area PFG)",,,,,,
109,DHBA:146034634,IPCir,rostral subdivision of area 40/39,rostral subdivision of area 40/39,A40/39r,146034634,595,240,50,230,,,,,,,,,,,,,rostral subdivision of area 40/39,,,,,
110,DHBA:146034662,IPCic,caudal subdivision of area 40/39,caudal subdivision of area 40/39,A40/39c,146034662,596,0,128,128,,,,,,,,,,,,,caudal subdivision of area 40/39,,,,,
111,DHBA:10232,A39,"caudal division of IPC (IPCc, area 39, area PG)",caudal division of IPC (area 39),A39,10232,597,210,245,60,,,,,,,,,,,,"caudal division of IPC (IPCc, area 39, area PG)",,,,,,
112,DHBA:10233,A39r,rostral subdivision of area 39,rostral subdivision of area 39,A39r,10233,598,128,128,0,,,,,,,,,,,,,rostral subdivision of area 39,,,,,
113,DHBA:10234,A39c,caudal subdivision of area 39,caudal subdivision of area 39,A39c,10234,599,0,130,200,,,,,,,,,,,,,caudal subdivision of area 39,,,,,
114,DHBA:AA30018,PLPC,posterior limitans parietal cortex,,,,600,250,190,212,,,,,,,,,,,posterior limitans parietal cortex,,,,,,,
115,DHBA:AA30019,Opt,occipitoparietal area,,,,601,128,128,128,,,,,,,,,,,,occipitoparietal area,,,,,,
116,DHBA:AA30020,V6,sixth visual area,,,,602,170,110,40,,,,,,,,,,,,sixth visual area,,,,,,
117,DHBA:267499151,V6A,"sixth visual area V6, part A ",area V6 of peristriate cortex (parieto-occipital area),V6A/PO,267499151,603,220,190,255,,,,,,,,,,,,,"sixth visual area V6, part A ",,,,,
118,DHBA:AA30819,V6Ad,dorsal part of area V6A,,,,2368,128,128,0,,,,,,,,,,,,,,dorsal part of area V6A,,,,
119,DHBA:AA30820,V6Av,ventral part of area V6A,,,,2369,0,128,128,,,,,,,,,,,,,,ventral part of area V6A,,,,
120,DHBA:AA30821,V6B,"sixth visual area V6, part B ",,,,2370,230,25,75,,,,,,,,,,,,,"sixth visual area V6, part B ",,,,,
121,DHBA:267499179,V7,seventh visual area V7,area V7 of peristriate cortex ,V7,267499179,605,220,190,255,,,,,,,,,,,,seventh visual area V7,,,,,,
122,DHBA:13323,RI,retroinsular cortex,retroinsular cortex,RI,13323,606,128,0,0,,,,,,,,,,,,retroinsular cortex,,,,,,
123,DHBA:10235,TCx,temporal cortex,temporal neocortex,TCx,10235,607,0,0,128,,,,,,,,,temporal cortex,,,,,,,,,
124,DHBA:13322,DLTC,dorsolateral temporal cortex,dorsolateral temporal neocortex,DLTC,13322,608,210,245,60,,,,,,,,,,dorsolateral temporal cortex,,,,,,,,
125,DHBA:10236,Au1,"primary auditory cortex (first auditiory cortex, auditory core region)",primary auditory cortex (core),A1C,10236,609,128,128,128,,,,,,,,,,,"primary auditory cortex (first auditiory cortex, auditory core region)",,,,,,,
126,DHBA:10237,A41,"main portion of primary auditory cortex (area TC, area 41)","main portion of A1C (area TC, area 41)",A41,10237,610,60,180,75,,,,,,,,,,,,"main portion of primary auditory cortex (area TC, area 41)",,,,,,
127,DHBA:10238,Au1r,rostral extension of primary auditory cortex ,rostral portion of A1C,A1Cr,10238,611,0,0,128,,,,,,,,,,,,rostral extension of primary auditory cortex ,,,,,,
128,DHBA:10239,A42,"secondary auditory cortex (auditory belt region, area 42, area TB)","secondary auditory cortex (belt, area 42)",A42,10239,612,128,128,0,,,,,,,,,,,"secondary auditory cortex (auditory belt region, area 42, area TB)",,,,,,,
129,DHBA:10240,A22,superolateral temporal cortex (area 22),superolateral temporal cortex,SLTC,10240,613,240,50,230,,,,,,,,,,,superolateral temporal cortex (area 22),,,,,,,
130,DHBA:10241,A22r,rostral subdivision of area 22,anterior (rostral) superior temporal cortex (area 22r),ASTC,10241,614,210,245,60,,,,,,,,,,,,rostral subdivision of area 22,,,,,,
131,DHBA:10242,A22i,intermediate subdivision of area 22,intermediate superior temporal cortex (area 22i),ISTC,10242,615,170,110,40,,,,,,,,,,,,intermediate subdivision of area 22,,,,,,
132,DHBA:10243,A22c,caudal subdivision of area 22,posterior (caudal) superior temporal cortex (area 22c),STC,10243,616,170,255,195,,,,,,,,,,,,caudal subdivision of area 22,,,,,,
133,DHBA:10244,A22P,polysensory temporal cortex (area 22P),polysensory temporal cortex (area 22p),PSTC,10244,617,128,128,128,,,,,,,,,,,polysensory temporal cortex (area 22P),,,,,,,
134,DHBA:10245,A22Pr,rostral subdivision of area 22P,rostral division of 22p (area 22pr),A22pr,10245,618,170,255,195,,,,,,,,,,,,rostral subdivision of area 22P,,,,,,
135,DHBA:10246,A22Pi,intermediate subdivision of area 22P,intermediate division of 22p (area 22pi),A22pi,10246,619,255,215,180,,,,,,,,,,,,intermediate subdivision of area 22P,,,,,,
136,DHBA:10247,A22Pc,caudal subdivision of area 22P (area FST),caudal division of 22p (area 22pc),A22pc,10247,620,128,128,128,,,,,,,,,,,,caudal subdivision of area 22P (area FST),,,,,,
137,DHBA:10267,PI,parainsular cortex (area 52),parainsular cortex,PI,10267,86,107,158,96,,,,,,,,,,,parainsular cortex (area 52),,,,,,,
138,DHBA:267499039,V5,"fifth visual area (V5, middle temporal area)",area V5 (middle temporal area),V5/MT,267499039,621,210,245,60,,,,,,,,,,,"fifth visual area (V5, middle temporal area)",,,,,,,
139,DHBA:AA30021,MST,medial superior temporal area,,,,622,145,30,180,,,,,,,,,,,medial superior temporal area,,,,,,,
140,DHBA:AA30022,Tpt,temporoparietal area,,,,623,128,128,0,,,,,,,,,,,temporoparietal area,,,,,,,
141,DHBA:13324,VLTC,ventrolateral temporal cortex,ventrolateral temporal neocortex,VLTC,13324,624,210,245,60,,,,,,,,,,ventrolateral temporal cortex,,,,,,,,
142,DHBA:AA30023,TE,typical ventrolateral temporal cortex (area TE),,,,625,255,225,25,,,,,,,,,,,typical ventrolateral temporal cortex (area TE),,,,,,,
143,DHBA:10248,A21,"midlateral temporal  cortex (area TEd, area 21)","midlateral temporal  cortex (area TEd, area 21)",MTC,10248,626,0,130,200,,,,,,,,,,,,"midlateral temporal  cortex (area TEd, area 21)",,,,,,
144,DHBA:10249,A21r,rostral subdivision of area 21,rostral subdivision of area 21,A21r,10249,627,170,110,40,,,,,,,,,,,,,rostral subdivision of area 21,,,,,
145,DHBA:10250,A21i,intermediate subdivision of area 21,intermediate subdivision of area 21,A21i,10250,628,145,30,180,,,,,,,,,,,,,intermediate subdivision of area 21,,,,,
146,DHBA:10251,A21c,caudal subdivision of area 21,caudal subdivision of area 21,A21c,10251,629,255,250,200,,,,,,,,,,,,,caudal subdivision of area 21,,,,,
147,DHBA:10252,A20,"inferolateral temporal cortex (area TEv, area 20)","inferolateral temporal cortex (area TEv, area 20)",ITC,10252,630,128,128,0,,,,,,,,,,,,"inferolateral temporal cortex (area TEv, area 20)",,,,,,
148,DHBA:10253,A20r,rostral subdivision of area 20,rostral subdivision of area 20,A20r,10253,631,0,128,128,,,,,,,,,,,,,rostral subdivision of area 20,,,,,
149,DHBA:10254,A20i,intermediate subdivision of area 20,intermediate subdivision of area 20,A20i,10254,632,170,255,195,,,,,,,,,,,,,intermediate subdivision of area 20,,,,,
150,DHBA:10255,A20c,caudal subdivision of area 20,caudal subdivision of area 20,A20c,10255,633,220,190,255,,,,,,,,,,,,,caudal subdivision of area 20,,,,,
151,DHBA:AA30024,TEO,"lateral temporal-occipital cortex (area 37l, area TEO)",,,,634,0,130,200,,,,,,,,,,,"lateral temporal-occipital cortex (area 37l, area TEO)",,,,,,,
152,DHBA:10252,ITC,inferior temporal cortex,"inferolateral temporal cortex (area TEv, area 20)",ITC,10252,635,128,128,128,,,,,,,,,,inferior temporal cortex,,,,,,,,
153,DHBA:AA30025,PRR,perirhinal cortical region,,,,2324,128,0,0,,,,,,,,,,,perirhinal cortical region,,,,,,,
154,DHBA:10320,A35,perirhinal cortex (area 35),perirhinal cortex (area 35),A35,10320,636,230,25,75,,,,,,,,,,,,perirhinal cortex (area 35),,,,,,
155,DHBA:10321,A35r,rostral subdivision of area 35,rostral subdivision of area 35,A35r,10321,637,255,225,25,,,,,,,,,,,,,rostral subdivision of area 35,,,,,
156,DHBA:10322,A35c,caudal subdivision of area 35,caudal subdivision of area 35,A35c,10322,638,220,190,255,,,,,,,,,,,,,caudal subdivision of area 35,,,,,
157,DHBA:10257,A36,ectorhinal cortex (area 36) ,rostral division of MITC (area 36),A36,10257,639,170,110,40,,,,,,,,,,,,ectorhinal cortex (area 36) ,,,,,,
158,DHBA:10258,A36r,rostral subdivision of area 36,rostral subdivision of area 36,A36r,10258,640,0,130,200,,,,,,,,,,,,,rostral subdivision of area 36,,,,,
159,DHBA:10259,A36c,caudal subdivision of area 36,caudal subdivision of area 36,A36c,10259,641,245,130,48,,,,,,,,,,,,,caudal subdivision of area 36,,,,,
